誤認識種類,誤認識数
e→p,18
b→h,16
s→c,10
o→c,9
s→r,6
w→u,5
y→l,5
c→r,4
g→q,4
o→n,4
i→j,4
e→o,3
k→t,3
e→a,3
m→w,3
m→r,2
w→n,2
u→a,2
z→i,2
a→o,2
e→c,2
m→n,2
t→f,2
g→y,2
n→r,2
f→t,2
y→t,2
q→f,1
i→t,1
z→j,1
k→b,1
l→r,1
w→q,1
n→a,1
i→f,1
n→q,1
q→y,1
q→g,1
s→g,1
o→m,1
s→f,1
m→t,1
v→i,1
v→n,1
u→v,1
a→j,1
i→l,1
y→r,1
q→a,1
j→l,1
r→v,1
s→j,1
k→h,1
t→p,1
k→u,1
a→u,1
o→u,1
合計,151
文字,認識率
a,88.6%
b,55.6%
c,88.9%
d,100.0%
e,87.4%
f,94.3%
g,83.3%
h,100.0%
i,95.2%
j,97.0%
k,83.8%
l,97.1%
m,77.1%
n,94.4%
o,78.6%
p,100.0%
q,87.1%
r,97.3%
s,73.2%
t,97.3%
u,95.8%
v,94.3%
w,78.4%
x,100.0%
y,92.5%
z,91.7%
全体,89.9%
